perm,qidx,correct
"[2, 5, 7, 6, 0, 3, 1, 4]",13,0
"[2, 5, 7, 6, 0, 3, 1, 4]",14,0
"[2, 5, 7, 6, 0, 3, 1, 4]",15,1
"[2, 5, 7, 6, 0, 3, 1, 4]",16,0
"[2, 5, 7, 6, 0, 3, 1, 4]",17,0
"[2, 5, 7, 6, 0, 3, 1, 4]",18,0
"[2, 5, 7, 6, 0, 3, 1, 4]",19,1
"[1, 5, 7, 2, 4, 0, 6, 3]",0,0
"[1, 5, 7, 2, 4, 0, 6, 3]",1,1
"[1, 5, 7, 2, 4, 0, 6, 3]",2,0
"[1, 5, 7, 2, 4, 0, 6, 3]",3,1
"[1, 5, 7, 2, 4, 0, 6, 3]",4,0
"[1, 5, 7, 2, 4, 0, 6, 3]",5,0
"[1, 5, 7, 2, 4, 0, 6, 3]",6,1
"[1, 5, 7, 2, 4, 0, 6, 3]",7,1
"[1, 5, 7, 2, 4, 0, 6, 3]",8,0
"[1, 5, 7, 2, 4, 0, 6, 3]",9,1
"[1, 5, 7, 2, 4, 0, 6, 3]",10,0
"[1, 5, 7, 2, 4, 0, 6, 3]",11,0
"[1, 5, 7, 2, 4, 0, 6, 3]",12,0
"[1, 5, 7, 2, 4, 0, 6, 3]",13,1
"[1, 5, 7, 2, 4, 0, 6, 3]",14,0
"[1, 5, 7, 2, 4, 0, 6, 3]",15,1
"[1, 5, 7, 2, 4, 0, 6, 3]",16,1
"[1, 5, 7, 2, 4, 0, 6, 3]",17,1
"[1, 5, 7, 2, 4, 0, 6, 3]",18,0
"[1, 5, 7, 2, 4, 0, 6, 3]",19,1
"[1, 6, 2, 4, 5, 0, 7, 3]",0,0
"[1, 6, 2, 4, 5, 0, 7, 3]",1,0
"[1, 6, 2, 4, 5, 0, 7, 3]",2,0
"[1, 6, 2, 4, 5, 0, 7, 3]",3,0
"[1, 6, 2, 4, 5, 0, 7, 3]",4,0
"[1, 6, 2, 4, 5, 0, 7, 3]",5,0
"[1, 6, 2, 4, 5, 0, 7, 3]",6,0
"[1, 6, 2, 4, 5, 0, 7, 3]",7,1
"[1, 6, 2, 4, 5, 0, 7, 3]",8,0
"[1, 6, 2, 4, 5, 0, 7, 3]",9,0
"[1, 6, 2, 4, 5, 0, 7, 3]",10,0
"[1, 6, 2, 4, 5, 0, 7, 3]",11,0
"[1, 6, 2, 4, 5, 0, 7, 3]",12,0
"[1, 6, 2, 4, 5, 0, 7, 3]",13,0
"[1, 6, 2, 4, 5, 0, 7, 3]",14,0
"[1, 6, 2, 4, 5, 0, 7, 3]",15,1
"[1, 6, 2, 4, 5, 0, 7, 3]",16,0
"[1, 6, 2, 4, 5, 0, 7, 3]",17,1
"[1, 6, 2, 4, 5, 0, 7, 3]",18,1
"[1, 6, 2, 4, 5, 0, 7, 3]",19,0
"[1, 0, 2, 3, 4, 7, 6, 5]",0,0
"[1, 0, 2, 3, 4, 7, 6, 5]",1,0
"[1, 0, 2, 3, 4, 7, 6, 5]",2,0
"[1, 0, 2, 3, 4, 7, 6, 5]",3,1
"[1, 0, 2, 3, 4, 7, 6, 5]",4,0
"[1, 0, 2, 3, 4, 7, 6, 5]",5,0
"[1, 0, 2, 3, 4, 7, 6, 5]",6,0
"[1, 0, 2, 3, 4, 7, 6, 5]",7,0
"[1, 0, 2, 3, 4, 7, 6, 5]",8,0
"[1, 0, 2, 3, 4, 7, 6, 5]",9,0
"[1, 0, 2, 3, 4, 7, 6, 5]",10,0
"[1, 0, 2, 3, 4, 7, 6, 5]",11,0
"[1, 0, 2, 3, 4, 7, 6, 5]",12,0
"[1, 0, 2, 3, 4, 7, 6, 5]",13,1
"[1, 0, 2, 3, 4, 7, 6, 5]",14,0
"[1, 0, 2, 3, 4, 7, 6, 5]",15,0
"[1, 0, 2, 3, 4, 7, 6, 5]",16,0
"[1, 0, 2, 3, 4, 7, 6, 5]",17,1
"[1, 0, 2, 3, 4, 7, 6, 5]",18,0
"[1, 0, 2, 3, 4, 7, 6, 5]",19,0
"[7, 6, 5, 0, 3, 2, 1, 4]",0,0
"[7, 6, 5, 0, 3, 2, 1, 4]",1,0
"[7, 6, 5, 0, 3, 2, 1, 4]",2,0
"[7, 6, 5, 0, 3, 2, 1, 4]",3,0
"[7, 6, 5, 0, 3, 2, 1, 4]",4,0
"[7, 6, 5, 0, 3, 2, 1, 4]",5,0
"[7, 6, 5, 0, 3, 2, 1, 4]",6,0
"[7, 6, 5, 0, 3, 2, 1, 4]",7,1
"[7, 6, 5, 0, 3, 2, 1, 4]",8,0
"[7, 6, 5, 0, 3, 2, 1, 4]",9,0
"[7, 6, 5, 0, 3, 2, 1, 4]",10,0
"[7, 6, 5, 0, 3, 2, 1, 4]",11,0
"[7, 6, 5, 0, 3, 2, 1, 4]",12,1
"[7, 6, 5, 0, 3, 2, 1, 4]",13,0
"[7, 6, 5, 0, 3, 2, 1, 4]",14,0
"[7, 6, 5, 0, 3, 2, 1, 4]",15,0
"[7, 6, 5, 0, 3, 2, 1, 4]",16,0
"[7, 6, 5, 0, 3, 2, 1, 4]",17,0
"[7, 6, 5, 0, 3, 2, 1, 4]",18,0
"[7, 6, 5, 0, 3, 2, 1, 4]",19,0
"[6, 2, 0, 1, 5, 4, 7, 3]",0,0
"[6, 2, 0, 1, 5, 4, 7, 3]",1,1
"[6, 2, 0, 1, 5, 4, 7, 3]",2,0
"[6, 2, 0, 1, 5, 4, 7, 3]",3,0
"[6, 2, 0, 1, 5, 4, 7, 3]",4,0
"[6, 2, 0, 1, 5, 4, 7, 3]",5,0
"[6, 2, 0, 1, 5, 4, 7, 3]",6,0
"[6, 2, 0, 1, 5, 4, 7, 3]",7,1
"[6, 2, 0, 1, 5, 4, 7, 3]",8,0
"[6, 2, 0, 1, 5, 4, 7, 3]",9,1
"[6, 2, 0, 1, 5, 4, 7, 3]",10,0
"[6, 2, 0, 1, 5, 4, 7, 3]",11,1
"[6, 2, 0, 1, 5, 4, 7, 3]",12,0
"[6, 2, 0, 1, 5, 4, 7, 3]",13,0
"[6, 2, 0, 1, 5, 4, 7, 3]",14,0
"[6, 2, 0, 1, 5, 4, 7, 3]",15,1
"[6, 2, 0, 1, 5, 4, 7, 3]",16,1
"[6, 2, 0, 1, 5, 4, 7, 3]",17,1
"[6, 2, 0, 1, 5, 4, 7, 3]",18,0
"[6, 2, 0, 1, 5, 4, 7, 3]",19,1
"[3, 0, 6, 2, 4, 5, 1, 7]",0,0
"[3, 0, 6, 2, 4, 5, 1, 7]",1,0
"[3, 0, 6, 2, 4, 5, 1, 7]",2,0
"[3, 0, 6, 2, 4, 5, 1, 7]",3,0
"[3, 0, 6, 2, 4, 5, 1, 7]",4,0
"[3, 0, 6, 2, 4, 5, 1, 7]",5,0
"[3, 0, 6, 2, 4, 5, 1, 7]",6,0
"[3, 0, 6, 2, 4, 5, 1, 7]",7,1
"[3, 0, 6, 2, 4, 5, 1, 7]",8,0
"[3, 0, 6, 2, 4, 5, 1, 7]",9,1
"[3, 0, 6, 2, 4, 5, 1, 7]",10,0
"[3, 0, 6, 2, 4, 5, 1, 7]",11,0
"[3, 0, 6, 2, 4, 5, 1, 7]",12,0
"[3, 0, 6, 2, 4, 5, 1, 7]",13,0
"[3, 0, 6, 2, 4, 5, 1, 7]",14,0
"[3, 0, 6, 2, 4, 5, 1, 7]",15,1
"[3, 0, 6, 2, 4, 5, 1, 7]",16,0
"[3, 0, 6, 2, 4, 5, 1, 7]",17,1
"[3, 0, 6, 2, 4, 5, 1, 7]",18,0
"[3, 0, 6, 2, 4, 5, 1, 7]",19,1
"[3, 0, 6, 2, 4, 5, 1, 7]",20,0
"[3, 0, 6, 2, 4, 5, 1, 7]",21,1
"[3, 0, 6, 2, 4, 5, 1, 7]",22,1
"[3, 0, 6, 2, 4, 5, 1, 7]",23,0
"[3, 0, 6, 2, 4, 5, 1, 7]",24,0
"[3, 1, 6, 2, 4, 5, 0, 7]",0,0
"[3, 1, 6, 2, 4, 5, 0, 7]",1,1
"[3, 1, 6, 2, 4, 5, 0, 7]",2,0
"[3, 1, 6, 2, 4, 5, 0, 7]",3,1
"[3, 1, 6, 2, 4, 5, 0, 7]",4,0
"[3, 1, 6, 2, 4, 5, 0, 7]",5,0
"[3, 1, 6, 2, 4, 5, 0, 7]",6,0
"[3, 1, 6, 2, 4, 5, 0, 7]",7,1
"[3, 1, 6, 2, 4, 5, 0, 7]",8,0
"[3, 1, 6, 2, 4, 5, 0, 7]",9,1
"[3, 1, 6, 2, 4, 5, 0, 7]",10,0
"[3, 1, 6, 2, 4, 5, 0, 7]",11,0
"[3, 1, 6, 2, 4, 5, 0, 7]",12,0
"[3, 1, 6, 2, 4, 5, 0, 7]",13,0
"[3, 1, 6, 2, 4, 5, 0, 7]",14,0
"[3, 1, 6, 2, 4, 5, 0, 7]",15,0
"[3, 1, 6, 2, 4, 5, 0, 7]",16,0
"[3, 1, 6, 2, 4, 5, 0, 7]",17,1
"[3, 1, 6, 2, 4, 5, 0, 7]",18,1
"[3, 1, 6, 2, 4, 5, 0, 7]",19,1
"[3, 1, 6, 2, 4, 5, 0, 7]",20,0
"[3, 1, 6, 2, 4, 5, 0, 7]",21,0
"[3, 1, 6, 2, 4, 5, 0, 7]",22,1
"[3, 1, 6, 2, 4, 5, 0, 7]",23,0
"[3, 1, 6, 2, 4, 5, 0, 7]",24,0
"[3, 6, 0, 1, 5, 2, 4, 7]",0,0
"[3, 6, 0, 1, 5, 2, 4, 7]",1,1
"[3, 6, 0, 1, 5, 2, 4, 7]",2,0
"[3, 6, 0, 1, 5, 2, 4, 7]",3,0
"[3, 6, 0, 1, 5, 2, 4, 7]",4,0
"[3, 6, 0, 1, 5, 2, 4, 7]",5,0
"[3, 6, 0, 1, 5, 2, 4, 7]",6,0
"[3, 6, 0, 1, 5, 2, 4, 7]",7,1
"[3, 6, 0, 1, 5, 2, 4, 7]",8,0
"[3, 6, 0, 1, 5, 2, 4, 7]",9,1
"[3, 6, 0, 1, 5, 2, 4, 7]",10,0
"[3, 6, 0, 1, 5, 2, 4, 7]",11,0
"[3, 6, 0, 1, 5, 2, 4, 7]",12,0
"[3, 6, 0, 1, 5, 2, 4, 7]",13,1
"[3, 6, 0, 1, 5, 2, 4, 7]",14,0
"[3, 6, 0, 1, 5, 2, 4, 7]",15,1
"[3, 6, 0, 1, 5, 2, 4, 7]",16,0
"[3, 6, 0, 1, 5, 2, 4, 7]",17,1
"[3, 6, 0, 1, 5, 2, 4, 7]",18,0
"[3, 6, 0, 1, 5, 2, 4, 7]",19,1
"[3, 6, 0, 1, 5, 2, 4, 7]",20,1
"[3, 6, 0, 1, 5, 2, 4, 7]",21,1
"[3, 6, 0, 1, 5, 2, 4, 7]",22,0
"[3, 6, 0, 1, 5, 2, 4, 7]",23,0
"[3, 6, 0, 1, 5, 2, 4, 7]",24,0
"[4, 6, 0, 1, 5, 2, 3, 7]",0,0
"[4, 6, 0, 1, 5, 2, 3, 7]",1,1
"[4, 6, 0, 1, 5, 2, 3, 7]",2,0
"[4, 6, 0, 1, 5, 2, 3, 7]",3,0
"[4, 6, 0, 1, 5, 2, 3, 7]",4,0
"[4, 6, 0, 1, 5, 2, 3, 7]",5,0
"[4, 6, 0, 1, 5, 2, 3, 7]",6,1
"[4, 6, 0, 1, 5, 2, 3, 7]",7,1
"[4, 6, 0, 1, 5, 2, 3, 7]",8,0
"[4, 6, 0, 1, 5, 2, 3, 7]",9,1
"[4, 6, 0, 1, 5, 2, 3, 7]",10,0
"[4, 6, 0, 1, 5, 2, 3, 7]",11,1
"[4, 6, 0, 1, 5, 2, 3, 7]",12,0
"[4, 6, 0, 1, 5, 2, 3, 7]",13,0
"[4, 6, 0, 1, 5, 2, 3, 7]",14,0
"[4, 6, 0, 1, 5, 2, 3, 7]",15,0
"[4, 6, 0, 1, 5, 2, 3, 7]",16,0
"[4, 6, 0, 1, 5, 2, 3, 7]",17,1
"[4, 6, 0, 1, 5, 2, 3, 7]",18,0
"[4, 6, 0, 1, 5, 2, 3, 7]",19,1
"[4, 6, 0, 1, 5, 2, 3, 7]",20,0
"[4, 6, 0, 1, 5, 2, 3, 7]",21,1
"[4, 6, 0, 1, 5, 2, 3, 7]",22,0
"[4, 6, 0, 1, 5, 2, 3, 7]",23,1
"[4, 6, 0, 1, 5, 2, 3, 7]",24,0
"[2, 5, 6, 4, 1, 7, 3, 0]",0,0
"[2, 5, 6, 4, 1, 7, 3, 0]",1,0
"[2, 5, 6, 4, 1, 7, 3, 0]",2,0
"[2, 5, 6, 4, 1, 7, 3, 0]",3,0
"[2, 5, 6, 4, 1, 7, 3, 0]",4,0
"[2, 5, 6, 4, 1, 7, 3, 0]",5,0
"[2, 5, 6, 4, 1, 7, 3, 0]",6,0
"[2, 5, 6, 4, 1, 7, 3, 0]",7,0
"[2, 5, 6, 4, 1, 7, 3, 0]",8,0
"[2, 5, 6, 4, 1, 7, 3, 0]",9,1
"[2, 5, 6, 4, 1, 7, 3, 0]",10,0
"[2, 5, 6, 4, 1, 7, 3, 0]",11,0
"[2, 5, 6, 4, 1, 7, 3, 0]",12,1
"[2, 5, 6, 4, 1, 7, 3, 0]",13,1
"[2, 5, 6, 4, 1, 7, 3, 0]",14,0
"[2, 5, 6, 4, 1, 7, 3, 0]",15,1
"[2, 5, 6, 4, 1, 7, 3, 0]",16,0
"[2, 5, 6, 4, 1, 7, 3, 0]",17,1
"[2, 5, 6, 4, 1, 7, 3, 0]",18,1
"[2, 5, 6, 4, 1, 7, 3, 0]",19,1
"[2, 5, 6, 4, 1, 7, 3, 0]",20,0
"[2, 5, 6, 4, 1, 7, 3, 0]",21,0
"[2, 5, 6, 4, 1, 7, 3, 0]",22,0
"[2, 5, 6, 4, 1, 7, 3, 0]",23,0
"[2, 5, 6, 4, 1, 7, 3, 0]",24,0
"[2, 5, 7, 4, 1, 6, 3, 0]",0,0
"[2, 5, 7, 4, 1, 6, 3, 0]",1,1
"[2, 5, 7, 4, 1, 6, 3, 0]",2,0
"[2, 5, 7, 4, 1, 6, 3, 0]",3,0
"[2, 5, 7, 4, 1, 6, 3, 0]",4,0
"[2, 5, 7, 4, 1, 6, 3, 0]",5,0
"[2, 5, 7, 4, 1, 6, 3, 0]",6,1
"[2, 5, 7, 4, 1, 6, 3, 0]",7,0
"[2, 5, 7, 4, 1, 6, 3, 0]",8,0
"[2, 5, 7, 4, 1, 6, 3, 0]",9,1
"[2, 5, 7, 4, 1, 6, 3, 0]",10,0
"[2, 5, 7, 4, 1, 6, 3, 0]",11,1
"[2, 5, 7, 4, 1, 6, 3, 0]",12,0
"[2, 5, 7, 4, 1, 6, 3, 0]",13,0
"[2, 5, 7, 4, 1, 6, 3, 0]",14,0
"[2, 5, 7, 4, 1, 6, 3, 0]",15,1
"[2, 5, 7, 4, 1, 6, 3, 0]",16,0
"[2, 5, 7, 4, 1, 6, 3, 0]",17,1
"[2, 5, 7, 4, 1, 6, 3, 0]",18,0
"[2, 5, 7, 4, 1, 6, 3, 0]",19,1
"[2, 5, 7, 4, 1, 6, 3, 0]",20,0
"[2, 5, 7, 4, 1, 6, 3, 0]",21,1
"[2, 5, 7, 4, 1, 6, 3, 0]",22,1
"[2, 5, 7, 4, 1, 6, 3, 0]",23,0
"[2, 5, 7, 4, 1, 6, 3, 0]",24,0
"[2, 1, 7, 6, 4, 0, 5, 3]",0,0
"[2, 1, 7, 6, 4, 0, 5, 3]",1,0
"[2, 1, 7, 6, 4, 0, 5, 3]",2,0
"[2, 1, 7, 6, 4, 0, 5, 3]",3,0
"[2, 1, 7, 6, 4, 0, 5, 3]",4,0
"[2, 1, 7, 6, 4, 0, 5, 3]",5,0
"[2, 1, 7, 6, 4, 0, 5, 3]",6,0
"[2, 1, 7, 6, 4, 0, 5, 3]",7,0
"[2, 1, 7, 6, 4, 0, 5, 3]",8,0
"[2, 1, 7, 6, 4, 0, 5, 3]",9,1
"[2, 1, 7, 6, 4, 0, 5, 3]",10,0
"[2, 1, 7, 6, 4, 0, 5, 3]",11,0
"[2, 1, 7, 6, 4, 0, 5, 3]",12,1
"[2, 1, 7, 6, 4, 0, 5, 3]",13,1
"[2, 1, 7, 6, 4, 0, 5, 3]",14,0
"[2, 1, 7, 6, 4, 0, 5, 3]",15,0
"[2, 1, 7, 6, 4, 0, 5, 3]",16,0
"[2, 1, 7, 6, 4, 0, 5, 3]",17,1
"[2, 1, 7, 6, 4, 0, 5, 3]",18,0
"[2, 1, 7, 6, 4, 0, 5, 3]",19,1
"[2, 1, 7, 6, 4, 0, 5, 3]",20,0
"[2, 1, 7, 6, 4, 0, 5, 3]",21,1
"[2, 1, 7, 6, 4, 0, 5, 3]",22,0
"[2, 1, 7, 6, 4, 0, 5, 3]",23,0
"[2, 1, 7, 6, 4, 0, 5, 3]",24,0
"[2, 1, 7, 6, 0, 4, 5, 3]",0,0
"[2, 1, 7, 6, 0, 4, 5, 3]",1,0
"[2, 1, 7, 6, 0, 4, 5, 3]",2,0
"[2, 1, 7, 6, 0, 4, 5, 3]",3,0
"[2, 1, 7, 6, 0, 4, 5, 3]",4,0
"[2, 1, 7, 6, 0, 4, 5, 3]",5,0
"[2, 1, 7, 6, 0, 4, 5, 3]",6,0
"[2, 1, 7, 6, 0, 4, 5, 3]",7,1
"[2, 1, 7, 6, 0, 4, 5, 3]",8,0
"[2, 1, 7, 6, 0, 4, 5, 3]",9,1
"[2, 1, 7, 6, 0, 4, 5, 3]",10,0
"[2, 1, 7, 6, 0, 4, 5, 3]",11,0
"[2, 1, 7, 6, 0, 4, 5, 3]",12,0
"[2, 1, 7, 6, 0, 4, 5, 3]",13,1
"[2, 1, 7, 6, 0, 4, 5, 3]",14,0
"[2, 1, 7, 6, 0, 4, 5, 3]",15,1
"[2, 1, 7, 6, 0, 4, 5, 3]",16,0
"[2, 1, 7, 6, 0, 4, 5, 3]",17,1
"[2, 1, 7, 6, 0, 4, 5, 3]",18,0
"[2, 1, 7, 6, 0, 4, 5, 3]",19,1
"[2, 1, 7, 6, 0, 4, 5, 3]",20,0
"[2, 1, 7, 6, 0, 4, 5, 3]",21,0
"[2, 1, 7, 6, 0, 4, 5, 3]",22,0
"[2, 1, 7, 6, 0, 4, 5, 3]",23,0
"[2, 1, 7, 6, 0, 4, 5, 3]",24,0
"[0, 2, 4, 3, 6, 7, 1, 5]",0,0
"[0, 2, 4, 3, 6, 7, 1, 5]",1,0
"[0, 2, 4, 3, 6, 7, 1, 5]",2,0
"[0, 2, 4, 3, 6, 7, 1, 5]",3,1
"[0, 2, 4, 3, 6, 7, 1, 5]",4,1
"[0, 2, 4, 3, 6, 7, 1, 5]",5,0
"[0, 2, 4, 3, 6, 7, 1, 5]",6,0
"[0, 2, 4, 3, 6, 7, 1, 5]",7,1
"[0, 2, 4, 3, 6, 7, 1, 5]",8,0
"[0, 2, 4, 3, 6, 7, 1, 5]",9,1
"[0, 2, 4, 3, 6, 7, 1, 5]",10,0
"[0, 2, 4, 3, 6, 7, 1, 5]",11,0
"[0, 2, 4, 3, 6, 7, 1, 5]",12,1
"[0, 2, 4, 3, 6, 7, 1, 5]",13,0
"[0, 2, 4, 3, 6, 7, 1, 5]",14,1
"[0, 2, 4, 3, 6, 7, 1, 5]",15,0
"[0, 2, 4, 3, 6, 7, 1, 5]",16,0
"[0, 2, 4, 3, 6, 7, 1, 5]",17,1
"[0, 2, 4, 3, 6, 7, 1, 5]",18,0
"[0, 2, 4, 3, 6, 7, 1, 5]",19,1
"[0, 2, 4, 3, 6, 7, 1, 5]",20,0
"[0, 2, 4, 3, 6, 7, 1, 5]",21,0
"[0, 2, 4, 3, 6, 7, 1, 5]",22,1
"[0, 2, 4, 3, 6, 7, 1, 5]",23,0
"[0, 2, 4, 3, 6, 7, 1, 5]",24,0
"[0, 2, 4, 3, 7, 6, 1, 5]",0,0
"[0, 2, 4, 3, 7, 6, 1, 5]",1,0
"[0, 2, 4, 3, 7, 6, 1, 5]",2,0
"[0, 2, 4, 3, 7, 6, 1, 5]",3,1
"[0, 2, 4, 3, 7, 6, 1, 5]",4,0
"[0, 2, 4, 3, 7, 6, 1, 5]",5,0
"[0, 2, 4, 3, 7, 6, 1, 5]",6,1
"[0, 2, 4, 3, 7, 6, 1, 5]",7,1
"[0, 2, 4, 3, 7, 6, 1, 5]",8,0
"[0, 2, 4, 3, 7, 6, 1, 5]",9,1
"[0, 2, 4, 3, 7, 6, 1, 5]",10,0
"[0, 2, 4, 3, 7, 6, 1, 5]",11,0
"[0, 2, 4, 3, 7, 6, 1, 5]",12,0
"[0, 2, 4, 3, 7, 6, 1, 5]",13,0
"[0, 2, 4, 3, 7, 6, 1, 5]",14,0
"[0, 2, 4, 3, 7, 6, 1, 5]",15,1
"[0, 2, 4, 3, 7, 6, 1, 5]",16,0
"[0, 2, 4, 3, 7, 6, 1, 5]",17,1
"[0, 2, 4, 3, 7, 6, 1, 5]",18,0
"[0, 2, 4, 3, 7, 6, 1, 5]",19,1
"[0, 2, 4, 3, 7, 6, 1, 5]",20,0
"[0, 2, 4, 3, 7, 6, 1, 5]",21,0
"[0, 2, 4, 3, 7, 6, 1, 5]",22,0
"[0, 2, 4, 3, 7, 6, 1, 5]",23,0
"[0, 2, 4, 3, 7, 6, 1, 5]",24,0
"[0, 2, 3, 4, 6, 5, 7, 1]",0,0
"[0, 2, 3, 4, 6, 5, 7, 1]",1,0
"[0, 2, 3, 4, 6, 5, 7, 1]",2,0
"[0, 2, 3, 4, 6, 5, 7, 1]",3,0
"[0, 2, 3, 4, 6, 5, 7, 1]",4,0
"[0, 2, 3, 4, 6, 5, 7, 1]",5,0
"[0, 2, 3, 4, 6, 5, 7, 1]",6,0
"[0, 2, 3, 4, 6, 5, 7, 1]",7,1
"[0, 2, 3, 4, 6, 5, 7, 1]",8,0
"[0, 2, 3, 4, 6, 5, 7, 1]",9,1
"[0, 2, 3, 4, 6, 5, 7, 1]",10,0
"[0, 2, 3, 4, 6, 5, 7, 1]",11,0
"[0, 2, 3, 4, 6, 5, 7, 1]",12,0
"[0, 2, 3, 4, 6, 5, 7, 1]",13,1
"[0, 2, 3, 4, 6, 5, 7, 1]",14,0
